original_label,filepath,label
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_15/03-01-03-01-01-01-15.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/iturralde_enfadado_25_0.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_user_8455.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/jota_enfadado_208_0.wav,1
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_08/03-01-03-01-01-01-08.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/jose_gomez_good_enfadado_78_1.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_24/03-01-05-02-02-02-24.wav,1
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_13/03-01-04-02-02-02-13.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_agente_10706.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_12/03-01-05-01-01-02-12.wav,1
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_agente_10706.wav,0
sadness,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/vicky_triste_59_0.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_agente_3391.wav,0
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_14/03-01-03-02-02-01-14.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_13/03-01-05-01-01-01-13.wav,1
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_14/03-01-04-02-01-01-14.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_01/03-01-03-02-01-01-01.wav,0
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_24/03-01-04-02-01-02-24.wav,3
other,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_18/03-01-01-01-01-01-18.wav,2
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_19/03-01-03-02-02-01-19.wav,0
other,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_12/03-01-01-01-02-01-12.wav,2
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_15/03-01-05-02-02-01-15.wav,1
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_agente_102.wav,0
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_11/03-01-04-01-01-02-11.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_10/03-01-03-01-01-02-10.wav,0
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_18/03-01-04-01-01-02-18.wav,3
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_09/03-01-04-01-01-01-09.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_user_7270.wav,0
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_agente_102.wav,0
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_05/03-01-03-02-02-01-05.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_08/03-01-05-02-02-01-08.wav,1
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_male_agente_15383.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_11/03-01-05-01-02-02-11.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_02/03-01-05-01-01-02-02.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/pique_enfadado_39_2.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_14/03-01-05-02-01-01-14.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/lobo_enfadado_72_0.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_24/03-01-05-02-01-02-24.wav,1
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_07/03-01-04-02-02-02-07.wav,3
sadness,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/iniesta_triste_91_0.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_08/03-01-03-02-01-02-08.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_06/03-01-05-01-01-02-06.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/jota_enfadado_179_0.wav,1
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_13/03-01-05-02-02-02-13.wav,1
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_agente_102.wav,0
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_23/03-01-03-02-02-02-23.wav,0
angry,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_10/03-01-05-01-01-02-10.wav,1
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_20/03-01-03-02-02-02-20.wav,0
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_03/03-01-04-01-02-01-03.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_female_agente_6767.wav,0
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_14/03-01-03-02-01-02-14.wav,0
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_20/03-01-04-02-02-01-20.wav,3
angry,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/pichu_cuellar_11_0.wav,1
happy,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/0722_es_male_user_708.wav,0
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_08/03-01-03-02-02-02-08.wav,0
sadness,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/vicky_triste_81_0.wav,3
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_16/03-01-04-02-02-02-16.wav,3
happy,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_09/03-01-03-01-01-01-09.wav,0
other,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/pique_enfadado_8_1.wav,2
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_21/03-01-04-01-02-01-21.wav,3
sadness,/home/xabierdetoro/xabi/tfm/gits/data/my_data/audios/valeron_triste_84_0.wav,3
sadness,/home/xabierdetoro/xabi/tfm/gits/Speech-Emotion-Classification-with-PyTorch/data/Actor_06/03-01-04-01-02-02-06.wav,3
